1385975218	2013-12-02T10:06:58.854980	23.81	23.31	23.44	23.38	23.44	23.44	22.69	100890	100852	100914	100924	100962	100878	100822	1.00948

1385975374	2013-12-02T10:09:34.564371	23.94	23.44	23.50	23.56	23.50	23.56	22.62	90008	89874	89784	89824	89740	89556	100822	1.00000

1385975448	2013-12-02T10:10:48.325629	23.81	23.38	23.44	23.50	23.38	23.50	22.56	79616	79414	79442	79356	79296	79210	100822	0.90000

1385975524	2013-12-02T10:12:04.921986	23.81	23.31	23.44	23.44	23.38	23.44	22.62	69870	69756	69746	69708	69646	69492	100824	0.70106

1385975589	2013-12-02T10:13:09.808750	23.75	23.31	23.44	23.44	23.38	23.44	22.62	61442	61396	61306	61332	61290	61114	100824	0.61549

1385975666	2013-12-02T10:14:26.606398	23.81	23.31	23.44	23.44	23.38	23.44	22.62	53892	53726	53696	53752	53726	53526	100826	0.53911

1385975750	2013-12-02T10:15:50.817724	23.94	23.38	23.44	23.44	23.44	23.50	22.56	46924	46842	46756	46796	46778	46552	100824	0.46964

1385975793	2013-12-02T10:16:33.834539	23.94	23.38	23.50	23.44	23.50	23.56	22.56	43826	43766	43684	43696	43708	43560	100828	0.43864

1385975846	2013-12-02T10:17:26.065260	24.06	23.44	23.56	23.50	23.56	23.62	22.56	40712	40622	40538	40636	40608	40466	100828	0.40864

1385975897	2013-12-02T10:18:17.137652	24.12	23.44	23.62	23.56	23.62	23.69	22.56	37992	37872	37808	37882	37892	37676	100826	0.38050

1385975945	2013-12-02T10:19:05.199908	24.19	23.50	23.62	23.62	23.75	23.75	22.56	35302	35206	35134	35184	35182	34986	100828	0.35376

1385975998	2013-12-02T10:19:58.410534	24.25	23.56	23.69	23.62	23.81	23.81	22.56	32836	32758	32680	32738	32700	32542	100830	0.32893

1385976051	2013-12-02T10:20:51.212849	24.38	23.62	23.75	23.69	23.88	23.88	22.56	30370	30320	30240	30300	30290	30072	100836	0.30422

1385976103	2013-12-02T10:21:43.956310	24.44	23.69	23.81	23.81	23.94	23.94	22.62	28282	28216	28140	28202	28214	27990	100834	0.28317

1385976165	2013-12-02T10:22:45.616458	24.50	23.75	23.94	23.88	24.00	24.00	22.56	26156	26102	26030	26072	26088	25860	100836	0.26169

1385976212	2013-12-02T10:23:32.526123	24.62	23.81	24.00	23.94	24.12	24.06	22.56	24294	24222	24132	24204	24228	24004	100838	0.24318

1385976274	2013-12-02T10:24:34.339323	24.69	23.88	24.06	24.00	24.19	24.12	22.50	22464	22376	22294	22382	22348	22132	100838	0.22469

1385976331	2013-12-02T10:25:31.373153	24.81	23.94	24.12	24.06	24.25	24.25	22.50	20866	20796	20736	20780	20780	20558	100840	0.20881

1385976395	2013-12-02T10:26:35.977659	24.88	24.00	24.19	24.19	24.38	24.31	22.50	19284	19200	19146	19180	19162	18934	100838	0.19261

1385976456	2013-12-02T10:27:36.129050	25.00	24.06	24.31	24.25	24.44	24.38	22.56	17896	17830	17754	17826	17790	17572	100842	0.18777

1385976522	2013-12-02T10:28:42.290945	25.06	24.19	24.38	24.31	24.56	24.50	22.56	16520	16466	16386	16458	16422	16200	100838	0.16500

1385976586	2013-12-02T10:29:46.593370	25.19	24.25	24.50	24.44	24.62	24.56	22.56	15332	15246	15210	15256	15230	15002	100828	0.15305

1385976663	2013-12-02T10:31:03.766392	25.31	24.38	24.56	24.50	24.75	24.62	22.62	14150	14080	14012	14070	14070	13822	100834	0.14093

1385976736	2013-12-02T10:32:16.447712	25.44	24.44	24.69	24.62	24.88	24.75	22.56	13162	13094	13042	13070	13044	12818	100832	0.13107

1385976824	2013-12-02T10:33:44.210290	25.56	24.56	24.81	24.69	25.00	24.88	22.62	12130	12048	12016	12038	12020	11782	100834	0.12054

1385976910	2013-12-02T10:35:10.190974	25.69	24.62	24.94	24.81	25.12	25.00	22.62	11258	11188	11136	11182	11178	10908	100834	0.11196

1385977008	2013-12-02T10:36:48.226006	25.81	24.75	25.00	24.94	25.25	25.12	22.62	10388	10354	10268	10312	10282	10060	100836	0.10330

1385977113	2013-12-02T10:38:33.976455	25.94	24.81	25.12	25.06	25.38	25.25	22.62	9668	9600	9554	9576	9546	9306	100838	0.09579

1385977223	2013-12-02T10:40:23.417359	26.12	24.94	25.25	25.19	25.50	25.31	22.62	8912	8848	8804	8848	8786	8560	100834	0.08824

1385977338	2013-12-02T10:42:18.724117	26.25	25.06	25.38	25.25	25.62	25.50	22.69	8266	8216	8140	8188	8170	7924	100838	0.08185

1385977466	2013-12-02T10:44:26.858484	26.38	25.19	25.50	25.44	25.75	25.62	22.69	7646	7568	7522	7576	7532	7302	100832	0.07555

1385977603	2013-12-02T10:46:43.227291	26.56	25.31	25.62	25.56	25.88	25.75	22.69	7100	7040	6996	7030	6988	6756	100822	0.07016

1385977764	2013-12-02T10:49:24.855123	26.69	25.44	25.81	25.69	26.06	25.88	22.69	6550	6486	6448	6492	6436	6232	100828	0.06462

1385978555	2013-12-02T11:02:35.957301	26.50	26.19	26.25	26.38	25.94	26.19	22.88	100908	100860	100920	100920	100956	100896	100850	1.00958

