1387197118	2013-12-16T13:31:58.549865	22.75	22.88	23.00	0.00	22.62	22.94	22.94	100554	100470	100520	0	100598	100470	100482	1.00588

1387212319	2013-12-16T17:45:19.265955	22.81	22.81	22.94	22.81	22.69	22.94	23.75	100534	100492	100546	100594	100588	100474	100500	1.00596	1.00595	d43d5nhtd53

1387212450	2013-12-16T17:47:30.824198	22.81	22.88	22.94	22.88	22.69	23.00	23.81	100534	100502	100546	100580	100596	100490	100510	1.00596	1.00597	

1387212494	2013-12-16T17:48:14.907190	22.81	22.81	23.00	22.88	22.69	22.94	23.81	97540	97380	97278	98108	97024	96900	100508	0.97505	0.96836	

1387212517	2013-12-16T17:48:37.146544	22.81	22.81	22.94	22.88	22.62	22.94	23.81	93480	93360	93180	93192	93112	92848	100504	0.93601	0.92758	

1387212530	2013-12-16T17:48:50.441770	22.75	22.75	22.94	22.81	22.62	22.88	23.81	89890	89806	89772	89784	89648	89490	100506	0.90109	0.89293	

1387212588	2013-12-16T17:49:48.055608	22.62	22.62	22.81	22.69	22.50	22.81	23.81	79588	79592	79526	79414	79346	79220	100500	0.79797	0.79231	

1387212647	2013-12-16T17:50:47.159690	22.50	22.56	22.69	22.62	22.38	22.69	23.81	70042	69964	69882	69964	69776	69712	100500	0.70284	0.69627	

1387212702	2013-12-16T17:51:42.773892	22.38	22.44	22.56	22.50	22.25	22.56	23.81	61610	61456	61348	61340	61328	61168	100504	0.61710	0.61147	

1387212764	2013-12-16T17:52:44.079083	22.31	22.38	22.50	22.44	22.19	22.50	23.81	53946	53874	53750	53776	53796	53572	100508	0.54000	0.53615	

1387212798	2013-12-16T17:53:18.083817	22.31	22.38	22.44	22.38	22.19	22.50	23.81	50354	50202	50126	50248	50140	49988	100510	0.50501	0.50056	

1387212831	2013-12-16T17:53:51.950358	22.25	22.31	22.44	22.38	22.12	22.44	23.81	46874	46866	46728	46736	46790	46520	100508	0.47022	0.46700	

1387212866	2013-12-16T17:54:26.621083	22.25	22.31	22.44	22.31	22.12	22.44	23.81	43882	43708	43700	43746	43648	43456	100510	0.43933	0.43640	

1387212903	2013-12-16T17:55:03.878848	22.25	22.31	22.44	22.31	22.12	22.44	23.81	40812	40678	40598	40652	40622	40398	100508	0.40906	0.40636	

1387212927	2013-12-16T17:55:27.506109	22.25	22.25	22.38	22.31	22.12	22.38	23.81	39050	38932	38804	38878	38904	38638	100512	0.39142	0.38825	

1387212955	2013-12-16T17:55:55.833564	22.19	22.25	22.38	22.25	22.12	22.38	23.81	37172	37084	36998	37056	37070	36770	100506	0.37299	0.37001	

1387212981	2013-12-16T17:56:21.174221	22.19	22.25	22.38	22.25	22.12	22.38	23.81	35232	35080	35042	35116	35078	34828	100508	0.35281	0.35062	

1387213021	2013-12-16T17:57:01.572072	22.19	22.25	22.38	22.25	22.12	22.38	23.81	32774	32676	32596	32620	32608	32442	100510	0.32815	0.32613	

1387213067	2013-12-16T17:57:47.628854	22.19	22.25	22.38	22.25	22.12	22.38	23.81	30198	30112	30034	30110	30068	29840	100514	0.30259	0.30080	

1387213080	2013-12-16T17:58:00.709539	22.19	22.25	22.38	22.19	22.12	22.38	23.81	29534	29440	29354	29418	29436	29158	100508	0.29595	0.29420	

1387213105	2013-12-16T17:58:25.048908	22.19	22.25	22.38	22.25	22.06	22.38	23.81	28304	28214	28104	28182	28186	27926	100508	0.28361	0.28198	

1387213151	2013-12-16T17:59:11.441560	22.19	22.25	22.38	22.25	22.12	22.38	23.75	26218	26116	26058	26134	26102	25852	100508	0.26266	0.26120	

1387213162	2013-12-16T17:59:22.997353	22.19	22.25	22.38	22.25	22.12	22.38	23.75	25736	25664	25596	25674	25618	25374	100506	0.25794	0.25650	

